s,n,i,m
EIX,Edison International,Utilities - Regulated Electric,26372209931
EJH,E-Home Household Service Holdings,Personal Services,3399482
EKSO,Ekso Bionics Holdings,Medical Instruments & Supplies,18228915
EL,The Estée Lauder Companies,Household & Personal Products,68787707327
ELA,Envela,Luxury Goods,212704340
ELAN,Elanco Animal Health,Drug Manufacturers - Specialty & Generic,4945202161
ELBM,Electra Battery Materials,Other Industrial Metals & Mining,36621135
ELDN,Eledon Pharmaceuticals,Biotechnology,30834590
ELEV,Elevation Oncology,Biotechnology,37480212
ELF,e.l.f. Beauty,Household & Personal Products,5925381000
ELLO,Ellomay Capital,Utilities - Renewable,212067900
ELMD,Electromed,Medical Devices,93487212
ELME,Elme Communities,REIT - Office,1440390248
ELOX,Eloxx Pharmaceuticals,Biotechnology,7842223
ELP,Companhia Paranaense de Energia - COPEL,Utilities - Diversified,22740729569
ELS,Equity LifeStyle Properties,REIT - Residential,12884063934
ELSE,Electro-Sensors,Scientific & Technical Instruments,15149284
ELTK,Eltek,Electronic Components,58262813
ELTX,Elicio Therapeutics,Biotechnology,30113700
ELV,Elevance Health,Healthcare Plans,101791846400
ELVN,Enliven Therapeutics,Biotechnology,730198848
ELYM,Eliem Therapeutics,Biotechnology,85029210
ELYS,Elys Game Technology,Gambling,15365988
EM,Smart Share Global,Personal Services,242463098
EMAN,eMagin,Electronic Components,165252975
EMBC,Embecta,Drug Manufacturers - Specialty & Generic,1167641530
EMBK,Embark Technology,Software - Application,68700390
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,Shell Companies,205401479
EME,EMCOR Group,Engineering & Construction,8765049795
EMKR,EMCORE,Semiconductors,44802725
EML,The Eastern Company,Tools & Accessories,112231296
EMLD,FTAC Emerald Acquisition,Shell Companies,357011785
EMN,Eastman Chemical Company,Specialty Chemicals,10123153920
EMR,Emerson Electric Co.,Specialty Industrial Machinery,50829212846
EMX,EMX Royalty,Other Industrial Metals & Mining,206988430
ENB,Enbridge,Oil & Gas Midstream,73738843269
ENCP,Energem,Shell Companies,57332572
ENER,Accretion Acquisition,Shell Companies,110232720
ENFN,Enfusion,Software - Application,833058408
ENG,ENGlobal,Engineering & Construction,14075146
ENIC,Enel Chile,Utilities - Regulated Electric,4578822459
ENLC,EnLink Midstream,Oil & Gas Midstream,5079280013
ENLT,Enlight Renewable Energy,Utilities - Renewable,2052800640
ENLV,Enlivex Therapeutics,Biotechnology,43630805
ENOB,Enochian Biosciences,Biotechnology,34713847
ENOV,Enovis,Specialty Industrial Machinery,3503028592
ENPH,Enphase Energy,Solar,22772601480
ENR,Energizer Holdings,Electrical Equipment & Parts,2359445999
ENS,EnerSys,Electrical Equipment & Parts,4362585694
ENSC,Ensysce Biosciences,Biotechnology,3332503
ENSG,The Ensign Group,Medical Care Facilities,4984326744
ENSV,Enservco,Oil & Gas Equipment & Services,5503121
ENTA,Enanta Pharmaceuticals,Biotechnology,411633070
ENTF,Enterprise 4.0 Technology Acquisition,Shell Companies,160884500
ENTG,Entegris,Semiconductor Equipment & Materials,15842659553
ENTX,Entera Bio,Biotechnology,23915620
ENV,Envestnet,Software - Application,3151629513
ENVA,Enova International,Credit Services,1639020885
ENVB,Enveric Biosciences,Biotechnology,6172462
ENVX,Enovix,Electrical Equipment & Parts,2963918400
ENZ,Enzo Biochem,Diagnostics & Research,89510580
EOG,EOG Resources,Oil & Gas E&P,67960616730
EOLS,Evolus,Drug Manufacturers - Specialty & Generic,406998020
EOSE,Eos Energy Enterprises,Electrical Equipment & Parts,577388120
EP,Empire Petroleum,Oil & Gas E&P,216354716
EPAC,Enerpac Tool Group,Specialty Industrial Machinery,1474966273
EPAM,EPAM Systems,Information Technology Services,13271940600
EPC,Edgewell Personal Care Company,Household & Personal Products,2005997280
EPD,Enterprise Products Partners L.P.,Oil & Gas Midstream,57472301414
EPIX,ESSA Pharma,Biotechnology,132277200
EPM,Evolution Petroleum,Oil & Gas E&P,273628439
EPOW,Sunrise New Energy Co.,Consulting Services,63404000
EPR,EPR Properties,REIT - Specialty,3547155904
EPRT,Essential Properties Realty Trust,REIT - Diversified,3470902160
EPSN,Epsilon Energy,Oil & Gas E&P,124261088
EQ,Equillium,Biotechnology,31027753
EQBK,Equity Bancshares,Banks - Regional,351418700
EQC,Equity Commonwealth,REIT - Office,2230241660
EQH,Equitable Holdings,Insurance - Diversified,9696140308
EQIX,Equinix,REIT - Specialty,72228976734
EQNR,Equinor ASA,Oil & Gas Integrated,90070396147
EQR,Equity Residential,REIT - Residential,25212338168
EQRX,EQRx,Biotechnology,930855705
EQS,Equus Total Return,Asset Management,20277150
EQT,EQT Corporation,Oil & Gas E&P,14360843848
EQX,Equinox Gold,Gold,1475981760
ERAS,Erasca,Biotechnology,413074158
ERF,Enerplus,Oil & Gas E&P,3149461760
ERIC,Telefonaktiebolaget LM Ericsson (publ),Communication Equipment,17916152684
ERIE,Erie Indemnity Company,Insurance Brokers,10742436645
ERII,Energy Recovery,Pollution & Treatment Controls,1560828520
ERJ,Embraer,Aerospace & Defense,2754765120
ERNA,Eterna Therapeutics,Biotechnology,12281898
ERO,Ero Copper,Copper,1861160390
ES,Eversource Energy,Utilities - Regulated Electric,24708477727
ESAB,ESAB Corporation,Metal Fabrication,3957193004
ESAC,ESGEN Acquisition,Shell Companies,106586573
ESBA,Empire State Realty OP,REIT - Office,2138152595
ESCA,Escalade,Leisure,174126832
ESE,ESCO Technologies,Scientific & Technical Instruments,2519657342
ESEA,Euroseas,Marine Shipping,153013661
ESGR,Enstar Group,Insurance - Diversified,3908636852
ESHA,ESH Acquisition,Shell Companies,140525000
ESI,Element Solutions,Specialty Chemicals,4560423800
ESLT,Elbit Systems,Aerospace & Defense,9251796312
ESMT,EngageSmart,Software - Infrastructure,3121447680
ESNT,Essent Group,Insurance - Specialty,4941422130
ESOA,Energy Services of America,Engineering & Construction,50526795
ESP,Espey Mfg. & Electronics,Electrical Equipment & Parts,44106922
ESPR,Esperion Therapeutics,Drug Manufacturers - Specialty & Generic,143016183
ESQ,Esquire Financial Holdings,Banks - Regional,362509317
ESRT,Empire State Realty Trust,REIT - Diversified,2220035371
ESS,Essex Property Trust,REIT - Residential,15497712425
ESSA,ESSA Bancorp,Banks - Regional,155307832
ESTA,Establishment Labs Holdings,Medical Devices,1637953592
ESTC,Elastic,Software - Application,6264182431
ESTE,Earthstone Energy,Oil & Gas E&P,2000107609
ET,Energy Transfer LP,Oil & Gas Midstream,40050938112
ETAO,ETAO International Co.,Health Information Services,56754376
ETD,Ethan Allen Interiors,Furnishings,709982000
ETN,Eaton Corporation,Specialty Industrial Machinery,79088888392
ETNB,89bio,Biotechnology,1349524546
ETON,Eton Pharmaceuticals,Biotechnology,82889300
ETR,Entergy,Utilities - Regulated Electric,20607625400
ETRN,Equitrans Midstream,Oil & Gas Midstream,4006942824
ETSY,Etsy,Internet Retail,10208611520
ETWO,E2open Parent Holdings,Software - Application,1675722536
EU,enCore Energy,Uranium,302434720
EUDA,EUDA Health Holdings,Health Information Services,16303594
EURN,Euronav NV,Oil & Gas Midstream,3153076134
EVA,Enviva,Lumber & Wood Production,892703300
EVAX,Evaxion Biotech,Biotechnology,34105020
EVBG,Everbridge,Software - Application,1075772929
EVBN,Evans Bancorp,Banks - Regional,134274641
EVC,Entravision Communications,Broadcasting,453174641
EVCM,EverCommerce,Software - Infrastructure,2185684143
EVE,EVe Mobility Acquisition,Shell Companies,360590718
EVER,EverQuote,Internet Content & Information,229270068
EVEX,Eve Holding,Aerospace & Defense,2766286484
EVGN,Evogene,Biotechnology,44945604
EVGO,EVgo,Specialty Retail,1202770915
EVGR,Evergreen,Shell Companies,155968750
EVH,Evolent Health,Health Information Services,3338352840
EVI,EVI Industries,Industrial Distribution,276014665
EVLO,Evelo Biosciences,Biotechnology,14313243
EVLV,Evolv Technologies Holdings,Security & Protection Services,840108095
EVO,Evotec SE,Drug Manufacturers - Specialty & Generic,3995587360
EVOK,Evoke Pharma,Drug Manufacturers - Specialty & Generic,5683219
EVR,Evercore,Capital Markets,4541842368
EVRG,Evergy,Utilities - Regulated Electric,13479977420
EVRI,Everi Holdings,Gambling,1249262066
EVTC,EVERTEC,Software - Infrastructure,2436539040
EVTL,Vertical Aerospace,Aerospace & Defense,385579814
EVTV,Envirotech Vehicles,Auto Manufacturers,31844732
EW,Edwards Lifesciences,Medical Devices,54717235236
EWBC,East West Bancorp,Banks - Diversified,7706740800
EWCZ,European Wax Center,Household & Personal Products,1180391360
EWTX,Edgewise Therapeutics,Biotechnology,461306826
EXAI,Exscientia,Biotechnology,771482320
EXAS,Exact Sciences,Diagnostics & Research,16345621475
EXC,Exelon,Utilities - Regulated Electric,40737547223
EXEL,Exelixis,Biotechnology,6288050316
EXFY,Expensify,Software - Application,641844142
EXK,Endeavour Silver,Other Precious Metals & Mining,531747280
EXLS,ExlService Holdings,Information Technology Services,4981685528
EXP,Eagle Materials,Building Materials,6378709520
EXPD,Expeditors International of Washington,Integrated Freight & Logistics,18166968800
EXPE,Expedia Group,Travel Services,15954198985
EXPI,eXp World Holdings,Real Estate Services,2955292920
EXPO,Exponent,Consulting Services,4645819789
EXPR,Express,Apparel Retail,45874695
EXR,Extra Space Storage,REIT - Industrial,21072143384
EXTR,Extreme Networks,Communication Equipment,3510008370
EYE,National Vision Holdings,Specialty Retail,1944358930
EYEN,Eyenovia,Biotechnology,94247440
EYPT,EyePoint Pharmaceuticals,Biotechnology,275787276
EZFL,EZFill Holdings,Software - Application,7849395
EZGO,EZGO Technologies,Recreational Vehicles,93058400
EZPW,EZCORP,Credit Services,469390468
F,Ford Motor Company,Auto Manufacturers,58870201600
FA,First Advantage,Specialty Business Services,2189512200
FACT,Freedom Acquisition I,Shell Companies,211722036
FAF,First American Financial,Insurance - Specialty,5709853800
FAMI,Farmmi,Packaged Foods,10040940
FANG,Diamondback Energy,Oil & Gas E&P,23976845600
FANH,Fanhua,Insurance Brokers,459891080
FARM,Farmer Bros. Co.,Packaged Foods,63509680
FARO,FARO Technologies,Scientific & Technical Instruments,285799752
FAST,Fastenal Company,Industrial Distribution,33046199614
FAT,FAT Brands,Restaurants,113802753
FATBB,FAT Brands,Restaurants,107675649
FATE,Fate Therapeutics,Biotechnology,469294046
FATH,Fathom Digital Manufacturing,Computer Hardware,48675094
FATP,Fat Projects Acquisition,Shell Companies,36294372
FAZE,FaZe Holdings,Internet Content & Information,35693693
FBIN,Fortune Brands Innovations,Building Products & Equipment,8753126800
FBIO,Fortress Biotech,Biotechnology,76404055
FBIZ,First Business Financial Services,Banks - Regional,245478128
FBK,FB Financial,Banks - Regional,1301915230
FBMS,The First Bancshares,Banks - Regional,802691615
FBNC,First Bancorp,Banks - Regional,1247781260
FBP,First BanCorp.,Banks - Regional,2259947629
FBRT,Franklin BSP Realty Trust,REIT - Mortgage,1143705900
FBRX,Forte Biosciences,Biotechnology,21261712
FC,Franklin Covey Co.,Consulting Services,572314100
FCAP,First Capital,Banks - Regional,112706528
FCBC,First Community Bankshares,Banks - Regional,580692574
FCCO,First Community,Banks - Regional,132250299
FCEL,FuelCell Energy,Electrical Equipment & Parts,846062863
FCF,First Commonwealth Financial,Banks - Regional,1299513330
FCFS,FirstCash Holdings,Credit Services,4181829915
FCN,FTI Consulting,Consulting Services,6613828272
FCNCA,First Citizens BancShares,Banks - Regional,18609943659
FCPT,Four Corners Property Trust,REIT - Retail,2205231137
FCUV,Focus Universal,Scientific & Technical Instruments,105659534
FCX,Freeport-McMoRan,Copper,55382324982
FDBC,Fidelity D & D Bancorp,Banks - Regional,266210567
FDMT,4D Molecular Therapeutics,Biotechnology,764408550
FDP,Fresh Del Monte Produce,Farm Products,1223037452
FDS,FactSet Research Systems,Financial Data & Stock Exchanges,14851488615
FDUS,Fidus Investment,Asset Management,494520436
FDX,FedEx,Integrated Freight & Logistics,63152190000
FE,FirstEnergy,Utilities - Regulated Electric,22208890180
FEAM,5E Advanced Materials,Specialty Chemicals,144367884
FEDU,Four Seasons Education,Education & Training Services,19114920
FEIM,Frequency Electronics,Communication Equipment,62200376
FELE,Franklin Electric Co.,Specialty Industrial Machinery,4648883648
FEMY,Femasys,Medical Instruments & Supplies,6787883
FENC,Fennec Pharmaceuticals,Biotechnology,234605160
FENG,Phoenix New Media,Internet Content & Information,22079876
FERG,Ferguson,Industrial Distribution,31658423512
FET,Forum Energy Technologies,Oil & Gas Equipment & Services,263582515
FEXD,Fintech Ecosystem Development,Shell Companies,152768013
FF,FutureFuel,Chemicals,385991424
FFBC,First Financial Bancorp.,Banks - Regional,1956386800
FFIC,Flushing Financial,Banks - Regional,361237800
FFIE,Faraday Future Intelligent Electric,Auto Manufacturers,269991145
FFIN,First Financial Bankshares,Banks - Regional,4066406418
FFIV,F5,Software - Infrastructure,8672320560
FFNW,First Financial Northwest,Banks - Regional,101909723
FFWM,First Foundation,Banks - Regional,218362041
FG,F&G Annuities & Life,Insurance - Life,2997615000
FGBI,First Guaranty Bancshares,Banks - Regional,143117372
FGEN,FibroGen,Biotechnology,263472480
FGF,FG Financial Group,Insurance - Diversified,17104142
FGH,FG Group Holdings,Leisure,36018760
FGI,FGI Industries,Furnishings,16910000
FGMC,FG Merger,Shell Companies,107571102
FHB,First Hawaiian,Banks - Regional,2361820470
FHI,Federated Hermes,Asset Management,3156971525
FHLT,Future Health ESG,Shell Companies,67892862
FHN,First Horizon,Banks - Regional,6609929406
FHTX,Foghorn Therapeutics,Biotechnology,321632712
FI,Fiserv,Information Technology Services,77287214003
FIAC,Focus Impact Acquisition,Shell Companies,305325000
FIBK,First Interstate BancSystem,Banks - Regional,2455967280
FICO,Fair Isaac,Software - Application,19839272849
FICV,Frontier Investment,Shell Companies,259499990
FIGS,FIGS,Apparel Manufacturing,1254890960
FIHL,Fidelis Insurance Holdings,Insurance - Reinsurance,1633119342.8999999
FINV,FinVolution Group,Credit Services,1330565288
FINW,FinWise Bancorp,Banks - Regional,111956560
FIP,FTAI Infrastructure,Conglomerates,357007923
FIS,Fidelity National Information Services,Information Technology Services,35113444640
FISI,Financial Institutions,Banks - Regional,247241256
FITB,Fifth Third Bancorp,Banks - Regional,18141082253
FIVE,Five Below,Specialty Retail,10785456640
FIVN,Five9,Software - Infrastructure,5756754996
FIX,Comfort Systems USA,Engineering & Construction,5717077200
FIXX,Homology Medicines,Biotechnology,48871283
FIZZ,National Beverage,Beverages - Non-Alcoholic,4663941060
FKWL,Franklin Wireless,Communication Equipment,41127207
FL,Foot Locker,Apparel Retail,2410087377
FLAG,First Light Acquisition Group,Shell Companies,103719210
FLEX,Flex Ltd.,Electronic Components,12218810259
FLFV,Feutune Light Acquisition,Shell Companies,134675904
FLGC,Flora Growth,Drug Manufacturers - Specialty & Generic,17702049
FLGT,Fulgent Genetics,Diagnostics & Research,1091519100
FLIC,The First of Long Island Corporation,Banks - Regional,277658205
FLJ,FLJ Group,Real Estate Services,239167021
FLL,Full House Resorts,Resorts & Casinos,229360356
FLME,Flame Acquisition,Shell Companies,160419454
FLNC,Fluence Energy,Utilities - Renewable,4279104046
FLNG,FLEX LNG,Oil & Gas Midstream,1641598618
FLNT,Fluent,Advertising Agencies,53282354
FLO,Flowers Foods,Packaged Foods,5122436280
FLR,Fluor,Engineering & Construction,4215464675
FLS,Flowserve,Specialty Industrial Machinery,4847267040
FLT,FLEETCOR Technologies,Software - Infrastructure,18716231358
FLUX,Flux Power Holdings,Electrical Equipment & Parts,69670174
FLWS,1-800-FLOWERS.COM,Specialty Retail,494889412
FLXS,Flexsteel Industries,Furnishings,100294643
FLYW,Flywire,Information Technology Services,3342831800
FMAO,Farmers & Merchants Bancorp,Banks - Regional,300271103
FMBH,First Mid Bancshares,Banks - Regional,508911431
FMC,FMC Corporation,Agricultural Inputs,13046053500
FMIV,Forum Merger IV,Shell Companies,162050826
FMNB,Farmers National Banc,Banks - Regional,460783830
FMS,Fresenius Medical Care AG & Co. KGaA,Medical Care Facilities,13831512579
FMX,Fomento Económico Mexicano,Beverages - Brewers,198913251579
FN,Fabrinet,Electronic Components,4646028800
FNA,Paragon 28,Medical Devices,1410124470
FNB,F.N.B.,Banks - Regional,4228082673
FNCB,FNCB Bancorp,Banks - Regional,113969781
FNCH,Finch Therapeutics Group,Biotechnology,14844678
FND,Floor & Decor Holdings,Home Improvement Retail,10724869320
FNF,Fidelity National Financial,Insurance - Specialty,9733550446
FNGR,FingerMotion,Telecom Services,236545400
FNKO,Funko,Leisure,542885616
FNLC,The First Bancorp,Banks - Regional,273862992
